CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,main,description,temp,pressure,humidity,sea_level,temp_max,temp_min,grnd_level,wind_speed,Region starting 2016,Region until 2017
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,"Av. dos Lusíadas, 23",Sao Paulo,South America,05432-043,Brazil,(11) 555-7647,,Clouds,broken clouds,14.15,1025.0,66.0,1025.0,16.12,12.97,934.0,4.63,Brazil,USA
CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,Berkeley Gardens 12  Brewery,London,British Isles,WX1 6LT,UK,(171) 555-2282,(171) 555-9199,Clouds,scattered clouds,23.83,1017.0,57.0,1017.0,25.23,22.82,1013.0,4.02,UK,Europe
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Walserweg 21,Aachen,Western Europe,52066,Germany,0241-039123,0241-059428,Clouds,broken clouds,21.73,1016.0,58.0,1016.0,23.11,20.79,988.0,6.61,Germany,Europe
DUMON,Du monde entier,Janine Labrune,Owner,"67, rue des Cinquante Otages",Nantes,Western Europe,44000,France,40.67.88.88,40.67.89.89,Clouds,overcast clouds,25.06,1020.0,50.0,1020.0,25.06,23.99,1016.0,3.6,France,Europe
EASTC,Eastern Connection,Ann Devon,Sales Agent,35 King George,London,British Isles,WX3 6FW,UK,(171) 555-0297,(171) 555-3373,Clouds,scattered clouds,23.83,1017.0,57.0,1017.0,25.23,22.82,1013.0,4.02,UK,Europe
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,Western Europe,8010,Austria,7675-3425,7675-3426,Clouds,overcast clouds,25.07,1015.0,45.0,1015.0,26.31,24.94,959.0,0.45,Germany,Europe
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,"Rua Orós, 92",Sao Paulo,South America,05442-030,Brazil,(11) 555-9857,,Clouds,broken clouds,14.15,1025.0,66.0,1025.0,16.12,12.97,934.0,4.63,Brazil,USA
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,"C/ Moralzarzal, 86",Madrid,Southern Europe,28034,Spain,(91) 555 94 44,(91) 555 55 93,Clear,clear sky,30.99,1016.0,23.0,1016.0,32.17,30.15,943.0,2.06,Spain,Europe
FOLIG,Folies gourmandes,Martine Rancé,Assistant Sales Agent,"184, chaussée de Tournai",Lille,Western Europe,59000,France,20.16.10.16,20.16.10.17,Clouds,broken clouds,24.3,1017.0,51.0,1017.0,25.12,22.77,1014.0,5.14,France,Europe
FOLKO,Folk och fä HB,Maria Larsson,Owner,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden,0695-34 67 21,,Clouds,overcast clouds,21.14,1010.0,53.0,1010.0,21.14,21.14,967.0,3.25,Sweden,Europe
FRANK,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,München,Western Europe,80805,Germany,089-0877310,089-0877451,Rain,moderate rain,17.09,1018.0,80.0,1018.0,17.47,15.91,955.0,1.79,Germany,Europe
FRANR,France restauration,Carine Schmitt,Marketing Manager,"54, rue Royale",Nantes,Western Europe,44000,France,40.32.21.21,40.32.21.20,Clouds,overcast clouds,25.06,1020.0,50.0,1020.0,25.06,23.99,1016.0,3.6,France,Europe
FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,Via Monte Bianco 34,Torino,Southern Europe,10100,Italy,011-4988260,011-4988261,Clouds,scattered clouds,26.41,1014.0,47.0,1014.0,27.34,24.87,989.0,2.57,Europe,Europe
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Jardim das rosas n. 32,Lisboa,Southern Europe,1675,Portugal,(1) 354-2534,(1) 354-2535,Clear,clear sky,32.63,1014.0,31.0,1014.0,34.9,27.34,1006.0,5.14,Spain,Europe
GALED,Galería del gastrónomo,Eduardo Saavedra,Marketing Manager,"Rambla de Cataluña, 23",Barcelona,Southern Europe,08022,Spain,(93) 203 4560,(93) 203 4561,Clouds,few clouds,27.46,1018.0,50.0,1018.0,29.17,26.31,1012.0,5.14,Spain,Europe
GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,"C/ Romero, 33",Sevilla,Southern Europe,41101,Spain,(95) 555 82 82,,Clear,clear sky,39.07,1011.0,29.0,1011.0,39.42,37.8,1007.0,5.14,Spain,Europe
GOURL,Gourmet Lanchonetes,André Fonseca,Sales Associate,"Av. Brasil, 442",Campinas,South America,04876-786,Brazil,(11) 555-9482,,Clear,clear sky,14.76,1023.0,58.0,1023.0,14.76,14.76,948.0,5.14,Brazil,USA
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,2732 Baker Blvd.,Eugene,North America,97403,USA,(503) 555-7555,,Clouds,overcast clouds,15.52,1019.0,80.0,1019.0,16.6,14.04,998.0,0.89,USA,USA
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,5ª Ave. Los Palos Grandes,Caracas,South America,1081,Venezuela,(2) 283-2951,(2) 283-3397,Clear,clear sky,28.38,1017.0,72.0,1017.0,29.14,26.73,902.0,0.89,Brazil,USA
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil,(21) 555-0091,(21) 555-8765,Clouds,scattered clouds,20.74,1024.0,48.0,1024.0,21.96,20.53,1025.0,4.63,Brazil,USA
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,South America,5022,Venezuela,(5) 555-1340,(5) 555-1948,Clouds,broken clouds,27.46,1016.0,53.0,1016.0,27.46,27.46,888.0,3.11,Brazil,USA
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,City Center Plaza 516 Main St.,Elgin,North America,97827,USA,(503) 555-6874,(503) 555-2376,Clear,clear sky,24.74,1018.0,81.0,1018.0,26.12,23.6,988.0,4.12,USA,USA
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,8 Johnstown Road,Cork,British Isles,,Ireland,2967 542,2967 3333,Clouds,broken clouds,22.89,1021.0,73.0,1021.0,22.89,22.89,1008.0,5.14,UK,Europe
ISLAT,Island Trading,Helen Bennett,Marketing Manager,Garden House Crowther Way,Cowes,British Isles,PO31 7PJ,UK,(198) 555-8888,,Clouds,overcast clouds,24.53,1018.0,62.0,1018.0,24.97,23.38,1016.0,2.24,UK,Europe
KOENE,Königlich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,Western Europe,14776,Germany,0555-09876,,Clear,clear sky,29.69,1018.0,69.0,1018.0,30.38,29.61,994.0,1.96,Germany,Europe
LACOR,La corne d'abondance,Daniel Tonini,Sales Representative,"67, avenue de l'Europe",Versailles,Western Europe,78000,France,30.59.84.10,30.59.85.11,Clouds,broken clouds,23.58,1018.0,62.0,1018.0,25.09,22.93,1004.0,4.63,France,Europe
LAMAI,La maison d'Asie,Annette Roulet,Sales Manager,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France,61.77.61.10,61.77.61.11,Clear,clear sky,27.97,1019.0,34.0,1019.0,27.97,26.16,997.0,5.66,France,Europe
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,1900 Oak St.,Vancouver,North America,V3F 2K1,Canada,(604) 555-3392,(604) 555-7293,Clear,clear sky,18.41,1019.0,76.0,1019.0,19.67,16.81,1010.0,0.0,USA,USA
LAZYK,Lazy K Kountry Store,John Steel,Marketing Manager,12 Orchestra Terrace,Walla Walla,North America,99362,USA,(509) 555-7969,(509) 555-6221,Clear,clear sky,25.4,1014.0,27.0,1014.0,26.66,25.4,977.0,2.57,USA,USA
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany,069-0245984,069-0245874,Clear,clear sky,22.27,1016.0,52.0,1016.0,23.73,21.68,998.0,3.09,Germany,Europe
LETSS,Let's Stop N Shop,Jaime Yorres,Owner,87 Polk St. Suite 5,San Francisco,North America,94117,USA,(415) 555-5938,,Clouds,overcast clouds,13.82,1017.0,85.0,1017.0,15.6,12.93,1013.0,4.92,USA,USA
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela,(9) 331-6954,(9) 331-7256,Clouds,overcast clouds,29.8,1015.0,47.0,1015.0,29.8,29.8,929.0,5.89,Brazil,USA
LINOD,LINO-Delicateses,Felipe Izquierdo,Owner,Ave. 5 de Mayo Porlamar,I. de Margarita,South America,4980,Venezuela,(8) 34-56-12,(8) 34-93-93,Clear,clear sky,28.65,1015.0,59.0,1015.0,28.65,28.65,1011.0,3.94,Brazil,USA
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,89 Chiaroscuro Rd.,Portland,North America,97219,USA,(503) 555-9573,(503) 555-9646,Clouds,few clouds,18.11,1019.0,73.0,1019.0,19.75,16.75,1009.0,1.79,USA,USA
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Via Ludovico il Moro 22,Bergamo,Southern Europe,24100,Italy,035-640230,035-640231,Clear,clear sky,25.32,1015.0,47.0,1015.0,26.19,24.64,977.0,1.54,Europe,Europe
MAISD,Maison Dewey,Catherine Dewey,Sales Agent,Rue Joseph-Bens 532,Bruxelles,Western Europe,B-1180,Belgium,(02) 201 24 67,(02) 201 24 68,Clouds,overcast clouds,22.62,1017.0,59.0,1017.0,23.77,21.57,1010.0,5.45,France,Europe
MEREP,Mère Paillarde,Jean Fresnière,Marketing Assistant,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada,(514) 555-8054,(514) 555-8055,Clear,clear sky,26.93,1015.0,59.0,1015.0,27.85,26.07,1011.0,3.6,USA,USA
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Heerstr. 22,Leipzig,Western Europe,04179,Germany,0342-023176,,Clear,clear sky,22.25,1014.0,51.0,1014.0,22.83,22.06,1000.0,6.17,Germany,Europe
NORTS,North/South,Simon Crowther,Sales Associate,South House 300 Queensbridge,London,British Isles,SW7 1RZ,UK,(171) 555-7733,(171) 555-2530,Clouds,scattered clouds,23.83,1017.0,57.0,1017.0,25.23,22.82,1013.0,4.02,UK,Europe
OCEAN,Océano Atlántico Ltda.,Yvonne Moncada,Sales Agent,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,South America,1010,Argentina,(1) 135-5333,(1) 135-5535,Clear,clear sky,14.77,1020.0,63.0,1020.0,15.54,13.83,1019.0,5.14,Brazil,USA
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,2743 Bering St.,Anchorage,North America,99508,USA,(907) 555-7584,(907) 555-2880,Clouds,overcast clouds,15.74,1017.0,80.0,1017.0,17.47,14.66,1013.0,4.12,USA,USA
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,Köln,Western Europe,50739,Germany,0221-0644327,0221-0765721,Clouds,scattered clouds,22.75,1015.0,63.0,1015.0,23.58,21.09,1008.0,5.66,Germany,Europe
PARIS,Paris spécialités,Marie Bertrand,Owner,"265, boulevard Charonne",Paris,Western Europe,75012,France,(1) 42.34.22.66,(1) 42.34.22.77,Clouds,broken clouds,24.23,1018.0,62.0,1018.0,25.18,23.42,1008.0,4.63,France,Europe
PERIC,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,Calle Dr. Jorge Cash 321,México D.F.,Central America,05033,Mexico,(5) 552-3745,(5) 545-3745,Clouds,scattered clouds,13.83,1021.0,71.0,1021.0,16.14,13.83,767.0,1.79,Brazil,USA
PICCO,Piccolo und mehr,Georg Pipps,Sales Manager,Geislweg 14,Salzburg,Western Europe,5020,Austria,6562-9722,6562-9723,Clouds,few clouds,21.7,1018.0,64.0,1018.0,21.95,20.44,944.0,5.66,Germany,Europe
PRINI,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Estrada da saúde n. 58,Lisboa,Southern Europe,1756,Portugal,(1) 356-5634,,Clear,clear sky,32.63,1014.0,31.0,1014.0,34.9,27.34,1006.0,5.14,Spain,Europe
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil,(21) 555-4252,(21) 555-4545,Clouds,scattered clouds,20.74,1024.0,48.0,1024.0,21.96,20.53,1025.0,4.63,Brazil,USA
QUEEN,Queen Cozinha,Lúcia Carvalho,Marketing Assistant,"Alameda dos Canàrios, 891",Sao Paulo,South America,05487-020,Brazil,(11) 555-1189,,Clouds,broken clouds,14.15,1025.0,66.0,1025.0,16.12,12.97,934.0,4.63,Brazil,USA
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstraße 10,Cunewalde,Western Europe,01307,Germany,0372-035188,,Clouds,broken clouds,20.67,1015.0,65.0,1015.0,20.67,18.24,979.0,3.71,Germany,Europe
RANCH,Rancho grande,Sergio Gutiérrez,Sales Representative,Av. del Libertador 900,Buenos Aires,South America,1010,Argentina,(1) 123-5555,(1) 123-5556,Clear,clear sky,14.77,1020.0,63.0,1020.0,15.54,13.83,1019.0,5.14,Brazil,USA
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,North America,87110,USA,(505) 555-5939,(505) 555-3620,Clouds,scattered clouds,22.69,1018.0,65.0,1018.0,24.15,21.3,839.0,2.57,USA,USA
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Strada Provinciale 124,Reggio Emilia,Southern Europe,42100,Italy,0522-556721,0522-556722,Clouds,overcast clouds,21.74,1013.0,60.0,1013.0,29.73,21.74,1001.0,2.65,Europe,Europe
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,"Av. Copacabana, 267",Rio de Janeiro,South America,02389-890,Brazil,(21) 555-3412,,Clouds,scattered clouds,20.74,1024.0,48.0,1024.0,21.96,20.53,1025.0,4.63,Brazil,USA
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,Grenzacherweg 237,Genève,Western Europe,1203,Switzerland,0897-034214,,Clouds,broken clouds,22.13,1019.0,50.0,1019.0,22.14,21.3,954.0,1.54,Germany,Europe
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain,(91) 745 6200,(91) 745 6210,Clear,clear sky,30.99,1016.0,23.0,1016.0,32.17,30.15,943.0,2.06,Spain,Europe
SANTG,Santé Gourmet,Jonas Bergulfsen,Owner,Erling Skakkes gate 78,Stavern,Scandinavia,4110,Norway,07-98 92 35,07-98 92 47,Rain,light rain,17.97,1014.0,68.0,1014.0,17.97,17.97,1011.0,3.09,Sweden,Europe
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,North America,83720,USA,(208) 555-8097,,Clear,clear sky,23.92,1015.0,42.0,1015.0,25.37,21.84,904.0,4.92,USA,USA
SEVES,Seven Seas Imports,Hari Kumar,Sales Manager,90 Wadhurst Rd.,London,British Isles,OX15 4NB,UK,(171) 555-1717,(171) 555-5646,Clouds,scattered clouds,23.83,1017.0,57.0,1017.0,25.23,22.82,1013.0,4.02,UK,Europe
SIMOB,Simons bistro,Jytte Petersen,Owner,Vinbæltet 34,Kobenhavn,Northern Europe,1734,Denmark,31 12 34 56,31 13 35 57,Clouds,broken clouds,17.58,1009.0,78.0,1009.0,18.18,17.29,1007.0,7.2,Sweden,Europe
SPECD,Spécialités du monde,Dominique Perrier,Marketing Manager,"25, rue Lauriston",Paris,Western Europe,75016,France,(1) 47.55.60.10,(1) 47.55.60.20,Clouds,broken clouds,24.23,1018.0,62.0,1018.0,25.18,23.42,1008.0,4.63,France,Europe
SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,P.O. Box 555,Lander,North America,82520,USA,(307) 555-4680,(307) 555-6525,Clouds,overcast clouds,18.45,1022.0,63.0,1022.0,18.88,18.45,823.0,1.54,USA,USA
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21,Rain,light rain,21.49,1017.0,69.0,1017.0,21.98,21.28,997.0,3.6,France,Europe
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,89 Jefferson Way Suite 2,Portland,North America,97201,USA,(503) 555-3612,,Clouds,few clouds,18.11,1019.0,73.0,1019.0,19.75,16.75,1009.0,1.79,USA,USA
THECR,The Cracker Box,Liu Wong,Marketing Assistant,55 Grizzly Peak Rd.,Butte,North America,59801,USA,(406) 555-5834,(406) 555-8083,Clear,clear sky,10.63,1022.0,82.0,1022.0,10.63,10.63,818.0,0.0,USA,USA
TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,Luisenstr. 48,Münster,Western Europe,44087,Germany,0251-031259,0251-035695,Clouds,few clouds,21.03,1014.0,66.0,1014.0,21.03,18.88,1007.0,4.12,Germany,Europe
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,Avda. Azteca 123,México D.F.,Central America,05033,Mexico,(5) 555-2933,,Clouds,scattered clouds,13.83,1021.0,71.0,1021.0,16.14,13.83,767.0,1.79,Brazil,USA
TRADH,Tradição Hipermercados,Anabela Domingues,Sales Representative,"Av. Inês de Castro, 414",Sao Paulo,South America,05634-030,Brazil,(11) 555-2167,(11) 555-2168,Clouds,broken clouds,14.15,1025.0,66.0,1025.0,16.12,12.97,934.0,4.63,Brazil,USA
TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,722 DaVinci Blvd.,Kirkland,North America,98034,USA,(206) 555-8257,(206) 555-2174,Clear,clear sky,16.62,1019.0,77.0,1019.0,18.53,14.94,1009.0,0.45,USA,USA
VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,Smagsloget 45,Århus,Northern Europe,8200,Denmark,86 21 32 43,86 22 33 44,Clear,clear sky,19.93,1006.0,72.0,1006.0,21.46,19.93,1001.0,4.89,Sweden,Europe
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,Western Europe,69004,France,78.32.54.86,78.32.54.87,Clouds,few clouds,25.78,1018.0,46.0,1018.0,26.95,24.32,986.0,2.57,France,Europe
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,Western Europe,51100,France,26.47.15.10,26.47.15.11,Clouds,overcast clouds,23.0,1017.0,64.0,1017.0,23.0,23.0,1002.0,3.6,France,Europe
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany,0711-020361,0711-035428,Clouds,few clouds,21.62,1017.0,58.0,1017.0,22.13,20.6,976.0,4.63,Germany,Europe
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Torikatu 38,Oulu,Scandinavia,90110,Finland,981-443655,981-443655,Clear,clear sky,25.06,1013.0,73.0,1013.0,25.06,25.06,1012.0,4.12,Sweden,Europe
WELLI,Wellington Importadora,Paula Parente,Sales Manager,"Rua do Mercado, 12",Resende,South America,08737-363,Brazil,(14) 555-8122,,Clear,clear sky,19.71,1024.0,35.0,1024.0,19.71,19.71,953.0,0.73,Brazil,USA
WHITC,White Clover Markets,Karl Jablonski,Owner,305 - 14th Ave. S. Suite 3B,Seattle,North America,98128,USA,(206) 555-4112,(206) 555-4115,Clear,clear sky,17.01,1019.0,76.0,1019.0,18.69,15.24,1010.0,1.34,USA,USA
WILMK,Wilman Kala,Matti Karttunen,Owner/Marketing Assistant,Keskuskatu 45,Helsinki,Scandinavia,21240,Finland,90-224 8858,90-224 8858,Clear,clear sky,27.49,1011.0,55.0,1011.0,28.54,27.09,1009.0,5.14,Sweden,Europe
WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,ul. Filtrowa 68,Warszawa,Eastern Europe,01-012,Poland,(26) 642-7012,(26) 642-7012,Clear,clear sky,23.56,1012.0,45.0,1012.0,23.84,22.88,1002.0,7.2,Poland,Europe
